Hand,Card 1,Card 2,Card 3,Card 4,Card 5,Hand_Evaluated,Winning Percentage
1,JC,2H,JD,9S,9C,Two Pairs,0.9498
2,8H,JD,10C,8D,6S,Pair,0.7298
3,6C,7S,9C,9H,2D,Pair,0.7228
4,3D,2H,8S,JC,AC,High Card,0.3306
5,AS,JC,7S,10H,JH,Pair,0.8286
6,JC,6H,3H,QC,7C,High Card,0.0866
7,8H,2D,2H,KD,4S,Pair,0.5106
8,6S,JS,AD,KS,KD,Pair,0.9108
9,3D,6H,KD,AD,QC,High Card,0.3392
10,AS,2C,QC,3S,8H,High Card,0.34
11,JC,10H,2C,5D,6D,High Card,0.0464
12,6H,6D,8S,3H,2S,Pair,0.6268
13,4S,2S,7S,3C,KD,High Card,0.1788
14,AD,10D,5H,4H,10C,Pair,0.7854
15,JH,6C,4H,6S,6H,Three-of-a-Kind,0.9814
16,9C,AH,3D,5D,7S,High Card,0.3186
17,6H,10D,2C,7S,2S,Pair,0.497
18,4S,6S,QC,8C,JD,High Card,0.0976
19,AD,JS,7H,8C,3C,High Card,0.3462
20,JH,10C,10S,9C,4H,Pair,0.7918
21,9C,5H,8H,10H,AD,High Card,0.3324
22,4H,AD,7H,10S,KS,High Card,0.3442
23,2S,10S,6D,JD,9H,High Card,0.048
24,QD,5D,3D,KS,6C,High Card,0.1908
25,9H,AC,2C,QD,2H,Pair,0.5136
26,7C,9H,AC,KH,AD,Pair,0.9332
27,4D,5D,KS,KC,JS,Pair,0.8828
28,2S,AS,QS,AH,7H,Pair,0.9304
29,QD,9D,10H,3C,4C,High Card,0.096
30,9H,3C,7D,2D,KH,High Card,0.183
31,7C,JH,6D,4S,QD,High Card,0.0928
32,2D,7C,5C,5D,9S,Pair,0.6134
33,KS,3S,4C,4H,5H,Pair,0.57
34,10D,JD,3S,6C,2C,High Card,0.0472
35,7H,7C,KS,AS,JH,Pair,0.7058
36,5C,2H,JH,7C,10D,High Card,0.0468
37,2D,JC,10H,8D,7S,High Card,0.047
38,KS,7S,9D,10S,3H,High Card,0.1852
39,10C,2D,8D,9D,KC,High Card,0.1808
40,7H,JC,7C,JS,QS,Two Pairs,0.952
41,5C,6H,4C,QC,8D,High Card,0.0996
42,KD,2C,3S,JH,5S,High Card,0.1804
43,JS,AH,KC,8D,6C,High Card,0.331
44,8C,6D,KH,QH,KC,Pair,0.8856
45,5H,2C,QD,AS,10S,High Card,0.3344
46,3S,10H,JD,2D,6D,High Card,0.0454
47,KD,6C,8C,2S,3C,High Card,0.1852
48,JS,2S,7C,3D,QH,High Card,0.0922
49,8C,10D,6S,4H,JC,High Card,0.041
50,5H,6S,5S,4C,8S,Pair,0.6038
51,3S,AH,3H,5H,4D,Pair,0.539
52,JD,10C,2H,7S,AC,High Card,0.335
53,9S,6S,QD,6D,QH,Two Pairs,0.9562
54,6C,AD,JD,8S,9C,High Card,0.328
55,3H,10S,10C,9D,6S,Pair,0.766
56,AS,5H,9S,8H,2D,High Card,0.3276
57,JD,AC,8S,10C,QC,High Card,0.3244
58,8H,10S,6H,JH,10H,Pair,0.7824
59,6C,5D,3H,JC,7D,High Card,0.0482
60,3H,AS,2D,QD,4S,High Card,0.323
61,AS,9H,AD,QS,KD,Pair,0.9244
62,9D,5C,KC,KD,QC,Pair,0.8836
63,6H,KH,QC,2S,8H,High Card,0.1876
64,4C,9D,JS,AC,5D,High Card,0.3244
65,AD,5S,8S,2H,2S,Pair,0.5016
66,QS,KH,6H,4C,JD,High Card,0.1872
67,9D,9C,5H,3H,10C,Pair,0.7474
68,6H,4H,4D,5S,8C,Pair,0.5826
69,4C,KD,3D,6D,2H,High Card,0.1824
70,AD,9S,KC,6S,KS,Pair,0.907
71,QS,4H,7C,JH,6H,High Card,0.0954
72,7D,KC,JS,8H,8C,Pair,0.7212
73,4H,8H,9H,8C,8D,Three-of-a-Kind,0.9812
74,2C,4D,8H,9H,AD,High Card,0.3412
75,QD,KS,7D,9S,10D,High Card,0.1846
76,10S,8H,4D,10D,9H,Pair,0.7652
77,7C,4C,3C,QS,6C,High Card,0.0924
78,4H,QH,2C,JD,2H,Pair,0.5006
79,2C,8D,AS,QH,QD,Pair,0.8572
80,QD,4S,KS,AC,JS,High Card,0.3252
81,10S,QD,JH,KH,7H,High Card,0.1802
82,5C,8C,8H,2C,4C,Pair,0.6862
83,2H,3H,7D,3D,AS,Pair,0.529
84,KS,QD,6C,3S,3H,Pair,0.551
85,10D,8S,5C,4D,9S,High Card,0.0172
86,8S,3D,4S,5H,QC,High Card,0.092
87,5C,QC,3S,2C,KC,High Card,0.1842
88,2H,7H,QH,6H,QS,Pair,0.8392
89,KS,3D,JH,8C,10D,High Card,0.1872
90,10D,QS,7D,7S,JD,Pair,0.694
91,8S,7D,9D,9S,3H,Pair,0.7316
92,3C,8C,8D,KC,KD,Two Pairs,0.9632
93,KH,JH,7C,10S,QS,High Card,0.1734
94,JS,7C,4S,JC,8D,Pair,0.8004
95,8D,AS,3S,10H,5C,High Card,0.3302
96,5H,9D,AH,QC,6D,High Card,0.3168
97,3C,5C,KD,KH,JC,Pair,0.8862
98,KH,QD,KS,10S,8C,Pair,0.8842
99,JS,9C,JC,AD,6D,Pair,0.8284
100,8D,5S,8C,3S,3C,Two Pairs,0.9348
101,5H,KD,7S,2D,QH,High Card,0.1814
102,AC,9C,6S,3H,JD,High Card,0.341
103,JD,4H,5C,8S,8H,Pair,0.7168
104,9S,KC,3H,4H,4D,Pair,0.5648
105,6D,9S,KD,6S,AC,Pair,0.6662
106,3H,4D,QD,7D,10H,High Card,0.0986
107,AC,KC,JC,7S,9D,High Card,0.3348
108,JD,8H,10C,8D,6S,Pair,0.733
109,9S,4C,7H,2D,3D,High Card,0.0056
110,6D,KS,7H,9C,QC,High Card,0.1874
111,3H,8D,4H,10H,5D,High Card,0.0172
112,QC,4S,3D,10C,7D,High Card,0.1034
113,9D,QH,2D,JD,4S,High Card,0.0984
114,7S,8C,AC,KS,KH,Pair,0.9052
115,4C,4S,KC,QD,10C,Pair,0.5842
116,AH,QD,QS,AS,8H,Two Pairs,0.9702
117,QC,8S,9S,2C,5D,High Card,0.0952
118,9D,3H,7H,AH,2S,High Card,0.3212
119,7S,QC,6H,3C,JH,High Card,0.096
120,4C,8S,5D,4H,10C,Pair,0.5796
121,AH,3D,4D,4S,6H,Pair,0.5762
122,10S,QS,3C,5D,3D,Pair,0.5476
123,7D,7H,KC,5S,KS,Two Pairs,0.969
124,5S,3C,QS,6C,9H,High Card,0.0956
125,2C,JH,10H,7H,8C,High Card,0.0442
126,QH,7D,9H,7C,5S,Pair,0.673
127,10S,3S,8D,8H,AD,Pair,0.7274
128,7D,JH,10S,JS,8D,Pair,0.8074
129,5S,7C,4C,9D,9H,Pair,0.726
130,2C,2H,3C,JS,6C,Pair,0.5104
131,QH,JD,2S,QD,3S,Pair,0.8416
132,8S,7S,AS,JH,QD,High Card,0.329
133,5D,2H,QH,KC,JS,High Card,0.2004
134,2H,JC,JH,AH,7H,Pair,0.8224
135,KC,6H,8D,AC,4C,High Card,0.3304
136,10H,2D,7D,AS,5C,High Card,0.3254
137,8S,JS,6C,4S,10D,High Card,0.0456
138,5D,6H,5S,3D,9C,Pair,0.6122
139,2H,2C,4S,5S,5H,Two Pairs,0.9208
140,KC,10H,2H,4C,2C,Pair,0.508
141,10D,6D,QH,5H,QS,Pair,0.8478
142,6S,2S,JD,7C,10D,High Card,0.0438
143,3D,10D,6D,7C,9D,High Card,0.0164
144,KH,6C,9C,8S,3H,High Card,0.1924
145,JC,AH,8C,9D,KC,High Card,0.3374
146,8D,10D,5S,9S,10S,Pair,0.7618
147,6S,4S,10C,8D,KC,High Card,0.1758
148,3D,AD,2H,JH,5C,High Card,0.3486
149,KH,10C,AH,JC,4C,High Card,0.3456
150,JC,5H,KD,QH,JD,Pair,0.8388
151,8D,AD,QC,AS,10S,Pair,0.9192
152,4S,10S,9C,KD,6D,High Card,0.1866
153,AC,5D,8S,2S,3C,High Card,0.337
154,JH,AC,7S,3D,QH,High Card,0.3402
155,9C,9H,5H,2H,9D,Three-of-a-Kind,0.984
156,6D,5C,4H,4C,8S,Pair,0.5838
157,4S,AS,3D,3H,4D,Two Pairs,0.9262
158,AC,9D,KD,5S,8D,High Card,0.323
159,JH,5C,QC,6D,10H,High Card,0.0906
160,9S,JH,JC,6S,9D,Two Pairs,0.9476
161,6D,7C,10S,7D,6S,Two Pairs,0.929
162,2S,3S,9S,8H,2H,Pair,0.5014
163,QC,JD,7H,8C,8H,Pair,0.7324
164,9H,7C,4D,8H,3C,High Card,0.004
165,7S,2H,3D,JC,7D,Pair,0.6632
166,4D,JC,2C,10D,4S,Pair,0.5728
167,2S,7S,AC,QS,KH,High Card,0.3446
168,QC,2D,KS,KD,10C,Pair,0.8916
169,9H,JC,QS,KS,8H,High Card,0.1898
170,7S,6H,8H,AC,5D,High Card,0.3344
171,4D,2C,7H,2H,2S,Three-of-a-Kind,0.9696
172,QH,JS,6D,2C,JH,Pair,0.8332
173,10C,6D,5D,3H,8C,High Card,0.0192
174,7H,2S,4C,3S,7S,Pair,0.6516
175,5S,10H,3C,4D,3D,Pair,0.5408
176,2D,6C,KS,6S,5H,Pair,0.6234
177,QH,2S,QS,5C,9H,Pair,0.8428
178,10C,10D,10H,6H,8C,Three-of-a-Kind,0.9848
179,7D,6S,9D,8C,5S,Straight,0.9948
180,5S,AH,8D,7H,AD,Pair,0.924
181,2D,10C,5C,9S,JS,High Card,0.0416
182,10H,6S,4C,10D,7H,Pair,0.7562
183,8C,AD,3S,10S,6C,High Card,0.3402
184,5D,10S,2S,JD,3S,High Card,0.0436
185,3S,5H,KH,QH,QD,Pair,0.8672
186,KD,AC,QH,QC,9C,Pair,0.8834
187,10H,10S,9D,KH,7H,Pair,0.7832
188,8C,5D,8D,KC,4C,Pair,0.7124
189,5D,AS,7C,AD,3S,Pair,0.9174
190,3S,9H,6C,10D,3C,Pair,0.5464
191,KC,5C,5S,2D,9C,Pair,0.615
192,8H,KH,3H,4S,5H,High Card,0.1824
193,6C,9D,KH,5C,2C,High Card,0.1768
194,3D,5S,QD,4H,QS,Pair,0.8372
195,AS,KH,JD,6C,8D,High Card,0.3294
196,JC,9C,10C,7D,7C,Pair,0.7044
197,8H,4H,9C,7S,3H,High Card,0.0064
198,6S,KD,8S,8D,9C,Pair,0.7296
199,3D,9S,5S,10S,3H,Pair,0.527
200,AS,4H,3H,9C,8D,High Card,0.3358
201,JC,KC,2H,10H,5C,High Card,0.1854
202,6H,8H,AD,QC,AH,Pair,0.9224
203,4S,4D,KD,JH,JD,Two Pairs,0.9494
204,AD,KS,QC,8S,4S,High Card,0.3384
205,QS,8D,9S,QD,6D,Pair,0.8428
206,9C,4C,8S,AS,3C,High Card,0.3346
207,6H,QH,2D,KD,JS,High Card,0.179
208,4S,8D,5H,AH,9D,High Card,0.339
209,AD,4S,4D,3C,8S,Pair,0.5606
210,JH,QD,3D,4H,6C,High Card,0.0942
211,9C,8C,KC,4S,AC,High Card,0.3346
212,4H,3H,QC,5D,10H,High Card,0.094
213,2S,QD,JS,7S,7D,Pair,0.6798
214,QD,8S,10S,6D,6S,Pair,0.6524
215,9H,3D,8H,7H,2H,High Card,0.0062
216,7C,QC,5H,9C,6D,High Card,0.093
217,4D,7H,8H,AS,AD,Pair,0.9226
218,2S,3D,10C,7D,8D,High Card,0.0148
219,QD,QS,2C,JD,4S,Pair,0.8386
220,9H,7D,AS,JS,KH,High Card,0.3446
221,7C,3C,KS,QD,10C,High Card,0.194
222,2D,JH,9H,QS,7S,High Card,0.1038
223,KS,7C,8H,KC,5D,Pair,0.8872
224,10D,3S,7D,AH,2S,High Card,0.334
225,7H,JD,6D,AC,JH,Pair,0.8246
226,5C,2H,8C,KC,9S,High Card,0.1822
227,2D,KH,4C,4S,7S,Pair,0.5682
228,KS,9C,AS,3D,5H,High Card,0.327
229,10C,5S,KS,3H,8D,High Card,0.1752
230,7H,KD,JH,6C,9H,High Card,0.1858
231,5C,9C,10H,5H,6C,Pair,0.62
232,KD,4H,9D,7C,5S,High Card,0.1806
233,JS,KC,8C,8H,AD,Pair,0.7476
234,8C,9S,5C,8S,JC,Pair,0.719
235,5H,4D,4S,9D,7H,Pair,0.5784
236,3C,KS,3S,9S,6C,Pair,0.5554
237,KD,8H,AH,10D,3S,High Card,0.3354
238,JS,4C,KH,JH,QD,Pair,0.8432
239,8C,KS,QD,JC,9C,High Card,0.1838
240,5H,8D,9D,QH,JH,High Card,0.0896
241,3S,4S,8C,AC,4C,Pair,0.5638
242,JD,QH,7C,KD,AS,High Card,0.3246
243,9S,8C,6S,2S,10D,High Card,0.0156
244,6C,4S,5S,3D,7C,Straight,0.9938
245,3H,QD,3S,5H,10C,Pair,0.5304
246,AS,8S,KD,4C,2D,High Card,0.3364
247,JD,3H,QD,5H,QS,Pair,0.8408
248,8H,QC,JC,5C,8D,Pair,0.7334
249,6C,8S,10C,6D,7C,Pair,0.6578
250,3H,3D,9S,8S,10D,Pair,0.5398
251,AS,QS,6S,7D,KD,High Card,0.32
252,9D,7H,4H,9S,10S,Pair,0.7348
253,6H,3C,3H,8C,6D,Two Pairs,0.9278
254,4C,JH,2D,9H,5C,High Card,0.0446
255,AH,7D,AD,JC,10H,Pair,0.9232
256,QS,3S,KC,10H,JD,High Card,0.1788
257,9D,JH,10C,QS,8S,Straight,0.9968
258,6H,7C,9S,KD,9C,Pair,0.745
259,4C,2H,7H,KS,3C,High Card,0.1926
260,AD,JD,6H,QH,JC,Pair,0.8356
261,QS,7S,5D,2H,9D,High Card,0.0998
262,7D,2H,4D,2C,6S,Pair,0.4968
263,4H,JC,AC,3H,7D,High Card,0.3264
264,2C,6H,KC,5S,AC,High Card,0.3422
265,QD,2D,QS,4D,10H,Pair,0.838
266,10S,JS,6S,7D,6D,Pair,0.6718
267,7C,6D,9H,7D,6S,Two Pairs,0.9276
268,4H,2C,8H,6H,2H,Pair,0.4936
269,2C,10H,5D,8C,QC,High Card,0.0926
270,QD,6D,4D,7H,9S,High Card,0.0952
271,10S,2S,3C,9C,5D,High Card,0.0168
272,5C,10D,2C,4S,KH,High Card,0.184
273,2H,6C,AS,10S,KH,High Card,0.3248
274,KC,AH,QH,JD,10C,Straight,0.997
275,10D,9H,KS,7S,10C,Pair,0.7936
276,8S,6S,8D,QC,5D,Pair,0.7022
277,5C,AD,7D,KH,2S,High Card,0.3296
278,2H,10C,6C,2C,JH,Pair,0.5124
279,KS,5H,5C,AH,8C,Pair,0.6088
280,10D,AD,4S,3S,5S,High Card,0.3306
281,8S,10S,AS,4D,3D,High Card,0.3458
282,3C,5D,QH,4S,KC,High Card,0.1892
283,KH,AC,JH,5C,9H,High Card,0.3362
284,JS,9H,10D,4H,6C,High Card,0.0422
285,8D,5C,9D,6C,5S,Pair,0.6186
286,5H,AS,8C,7H,AD,Pair,0.9168
287,3C,9D,5S,7S,JC,High Card,0.0434
288,KH,5C,4S,8D,7H,High Card,0.1838
289,JS,KH,2H,10S,4D,High Card,0.1734
290,8D,9C,AH,9D,3S,Pair,0.7528
291,5H,3S,KD,10H,QD,High Card,0.192
292,AC,JD,10D,QC,9C,High Card,0.3318
293,JH,7C,9C,5H,7H,Pair,0.6976
294,9S,2H,8C,KC,4D,High Card,0.187
295,6D,JC,7S,AD,AS,Pair,0.924
296,3H,7S,6S,AS,10D,High Card,0.336
297,AC,2D,4H,7C,KD,High Card,0.3356
298,JD,JS,AH,4S,3H,Pair,0.8372
299,9S,6H,KD,3C,2D,High Card,0.1826
300,6D,2C,QC,4H,QS,Pair,0.8416
301,3H,JS,JC,4C,8H,Pair,0.8154
302,AC,6D,10S,5D,5C,Pair,0.637
303,9D,2S,9S,7S,3H,Pair,0.7132
304,7S,10H,5H,6D,KD,High Card,0.191
305,4C,6C,4H,8S,10S,Pair,0.5878
306,AH,2S,3D,9C,6H,High Card,0.3372
307,QC,10D,2D,8H,5C,High Card,0.0954
308,9D,6S,AC,10C,AH,Pair,0.9202
309,7S,AH,KC,JH,JD,Pair,0.84
310,4C,10C,10S,JS,8S,Pair,0.783
311,AH,6S,9S,QD,4H,High Card,0.328
312,QC,AD,7H,AS,3C,Pair,0.9246
313,7D,10S,6D,KD,KS,Pair,0.8882
314,5S,5H,5D,AH,9D,Three-of-a-Kind,0.978
315,2C,AC,4C,3C,6S,High Card,0.3308
316,QH,9H,AC,2H,4H,High Card,0.3284
317,10S,5D,KS,4C,AC,High Card,0.3254
318,7D,AS,QS,3D,JS,High Card,0.3408
319,5S,9H,10H,7D,3H,High Card,0.019
320,2C,5C,9H,6D,4S,High Card,0.0052
321,QH,KH,8D,5H,2H,High Card,0.1834
322,10S,9D,5D,7C,QC,High Card,0.0954
323,5D,5S,4C,8H,9S,Pair,0.606
324,2H,KH,3C,8C,5D,High Card,0.1838
325,KC,9C,2S,9D,4C,Pair,0.7576
326,10H,4H,AS,JS,KH,High Card,0.323
327,8S,KD,10H,10D,10C,Three-of-a-Kind,0.9858
328,5D,9S,9D,QS,7S,Pair,0.7598
329,2H,4H,8D,KC,3D,High Card,0.1854
330,KC,7C,QH,2C,QS,Pair,0.8614
331,10H,8H,6C,AC,JH,High Card,0.3354
332,8S,4D,5S,KH,8C,Pair,0.7052
333,3D,KS,2S,5S,8D,High Card,0.1812
334,KH,8D,3D,2H,KD,Pair,0.8806
335,JC,4C,QH,3S,KC,High Card,0.1796
336,8D,QH,JD,4C,9H,High Card,0.0956
337,6S,8D,10D,5H,6D,Pair,0.6532
338,3D,4S,9C,5C,3S,Pair,0.5464
339,KH,QD,6C,6H,AD,Pair,0.6676
340,JC,8C,5S,8S,10H,Pair,0.7268
341,8D,3H,7D,7H,5C,Pair,0.6638
342,6S,QD,2H,9S,4D,High Card,0.0922
343,AC,8S,AD,10D,3S,Pair,0.9272
344,JH,3D,KD,9H,QD,High Card,0.1814
345,9C,QC,10C,JC,JS,Pair,0.8216
346,6D,7H,9C,QH,5H,High Card,0.0934
347,4S,3C,8S,QC,2D,High Card,0.0928
348,AC,QS,7S,KD,AS,Pair,0.9272
349,JH,7D,5H,KS,10H,High Card,0.1844
350,9C,3C,4H,AD,7C,High Card,0.3406
351,6D,JH,AD,3S,3H,Pair,0.5544
352,4S,7C,KD,2C,2D,Pair,0.5026
353,QC,3S,3H,QS,7H,Two Pairs,0.9566
354,9H,JD,JS,5C,8H,Pair,0.8068
355,7S,7C,10S,4D,5C,Pair,0.6688
356,4D,KH,8H,6S,AH,High Card,0.3424
357,2S,9C,5H,7D,KD,High Card,0.1808
358,QC,5S,4D,7S,10S,High Card,0.0988
359,9H,KD,3D,8C,6H,High Card,0.1818
360,7S,9C,2C,9H,3C,Pair,0.734
361,4D,4H,AC,9C,2S,Pair,0.5596
362,AH,KC,JS,10H,JD,Pair,0.8484
363,10C,9S,10S,QS,8S,Pair,0.792
364,7H,4D,8H,JD,4H,Pair,0.5856
365,5S,KS,7H,3C,10D,High Card,0.1796
366,2D,8H,6D,QD,KS,High Card,0.1896
367,QH,4C,5C,KH,9D,High Card,0.183
368,10C,KS,2C,6S,8H,High Card,0.1824
369,7H,8D,AS,AH,2H,Pair,0.921
370,5S,4S,KS,3C,AC,High Card,0.3512
371,2D,QH,JH,4D,JS,Pair,0.8288
372,QH,8C,10H,4S,7D,High Card,0.0958
373,8C,4S,9D,5D,4C,Pair,0.5756
374,5D,QD,6D,6H,2H,Pair,0.641
375,3S,8S,5C,6C,QC,High Card,0.0894
376,KD,3H,4C,7H,9S,High Card,0.1852
377,10H,QC,3S,9C,5D,High Card,0.093
378,8C,7H,2S,8D,2C,Two Pairs,0.9366
379,5D,3D,KH,10S,4S,High Card,0.1884
380,3S,QS,10H,JD,10C,Pair,0.8064
381,KC,7H,9D,JS,7S,Pair,0.7014
382,10H,3C,8C,QC,3D,Pair,0.5362
383,6C,JH,7C,2C,7H,Pair,0.674
384,3D,7D,6S,KC,JH,High Card,0.1744
385,AS,3S,5S,AH,8D,Pair,0.921
386,JC,JH,AH,AS,5S,Two Pairs,0.9686
387,8H,7C,KH,2D,AD,High Card,0.3226
388,6C,2H,QD,4S,KC,High Card,0.1852
389,3D,JD,3C,9H,2H,Pair,0.517
390,AS,7S,10C,4H,6D,High Card,0.3348
391,JC,2H,9C,6C,3S,High Card,0.044
392,8H,JC,6S,5H,AD,High Card,0.3298
393,4S,6H,5S,7S,JC,High Card,0.0448
394,AD,2D,3H,8D,7H,High Card,0.334
395,QS,JS,2D,8S,4D,High Card,0.093
396,9C,6D,AD,9D,AS,Two Pairs,0.9724
397,6H,2C,JC,8H,QH,High Card,0.1036
398,4S,10H,10C,9C,8H,Pair,0.7696
399,AD,6D,9S,JH,5H,High Card,0.338
400,JH,2S,8S,JC,2D,Two Pairs,0.9446
401,9C,10D,6H,QD,AS,High Card,0.352
402,6H,6C,5H,AS,10H,Pair,0.6548
403,2S,AH,2D,KD,7C,Pair,0.5152
404,QD,10D,AD,2S,3H,High Card,0.3386
405,9H,6S,KC,3C,KD,Pair,0.8826
406,7C,AD,QC,2H,QS,Pair,0.8708
407,4H,10C,JS,4C,8H,Pair,0.585
408,2S,5H,9H,5D,5C,Three-of-a-Kind,0.9756
409,QD,AC,6H,5S,2S,High Card,0.3304
410,9H,10S,5D,6D,KD,High Card,0.1886
411,7C,5D,4D,8S,10S,High Card,0.016
412,4D,AC,3C,7C,6H,High Card,0.3362
413,KS,9H,2C,8H,3C,High Card,0.1816
414,10D,5C,AS,8C,KS,High Card,0.339
415,7H,AS,JS,9H,JD,Pair,0.8206
416,5C,9D,9H,JS,8S,Pair,0.755
417,2D,5C,8H,10D,4H,High Card,0.0154
418,KS,KH,7D,QS,AC,Pair,0.9052
419,10D,9C,6D,KD,KS,Pair,0.8878
420,7H,5S,5C,QH,9D,Pair,0.6172
421,5C,JD,2S,AC,6C,High Card,0.3358
422,2D,7C,AS,2H,QD,Pair,0.512
423,JS,2H,QH,2C,AC,Pair,0.498
424,8C,JC,JH,3D,JS,Three-of-a-Kind,0.984
425,5H,7S,10D,5S,7D,Two Pairs,0.9302
426,3C,2D,9D,4D,4C,Pair,0.5396
427,KD,JS,6C,5H,KH,Pair,0.8832
428,JS,6H,5C,7C,QC,High Card,0.095
429,8C,2C,4S,6H,9S,High Card,0.0032
430,5H,JS,3S,8C,5D,Pair,0.6052
431,3S,6D,AH,7D,2C,High Card,0.3346
432,KD,2S,JH,9S,KH,Pair,0.8906
433,9S,10H,10D,9C,3H,Two Pairs,0.9402
434,6C,9D,10S,7S,3H,High Card,0.02
435,3H,2S,8C,JC,3D,Pair,0.5282
436,AS,10D,7S,QH,KC,High Card,0.331
437,JD,6S,QC,JH,KS,Pair,0.8532
438,9S,AH,2H,KH,8D,High Card,0.322
439,6C,10C,AH,2S,5S,High Card,0.3314
440,3H,6S,KD,AD,JD,High Card,0.3412
441,AS,AD,QD,3S,KC,Pair,0.9202
442,JD,10S,JC,4D,9H,Pair,0.804
443,6H,5H,10C,3H,6D,Pair,0.6336
444,4C,AC,7S,5C,3S,High Card,0.3286
445,AH,9H,6S,4H,QH,High Card,0.3398
446,QS,5D,4H,6S,JC,High Card,0.0956
447,9D,AS,3H,7D,7H,Pair,0.6876
448,6H,9H,2D,7S,4D,High Card,0.0066
449,4C,5C,AC,8D,AS,Pair,0.9134
450,AD,KH,JC,9H,QH,High Card,0.3258
451,QS,9D,10S,9C,6H,Pair,0.7722
452,9D,5S,9S,10H,5H,Two Pairs,0.9422
453,4H,KH,7H,QC,2D,High Card,0.1786
454,2C,9C,6H,JD,QS,High Card,0.0944
455,QD,4H,5D,KS,10H,High Card,0.1786
456,10S,KD,2D,AD,7C,High Card,0.344
457,7D,9S,AC,AS,4S,Pair,0.9224
458,4H,4D,KC,2C,KD,Two Pairs,0.9622
459,2C,KC,QS,3H,3D,Pair,0.512
460,QD,8H,JS,3C,KS,High Card,0.1786
461,10S,4D,9H,5C,2H,High Card,0.0168
462,7C,KS,6D,4S,2S,High Card,0.1814
463,2H,8D,5D,JD,9C,High Card,0.047
464,KC,4C,7S,10S,3H,High Card,0.1784
465,10D,QH,3C,6C,6H,Pair,0.6454
466,8S,8D,2S,7H,3C,Pair,0.6946
467,5C,4S,AS,9C,KS,High Card,0.3354
468,2H,QD,10H,8H,JD,High Card,0.0932
469,KS,8C,9H,10S,4S,High Card,0.1866
470,10D,3H,8D,JD,4H,High Card,0.0438
471,8S,QD,7D,JS,AC,High Card,0.3302
472,5C,8S,6C,QD,JS,High Card,0.0916
473,KH,3D,3C,9D,8S,Pair,0.5492
474,JS,QC,2S,KC,6C,High Card,0.188
475,8D,7H,KH,AH,2H,High Card,0.3298
476,6S,3C,QH,QD,6D,Two Pairs,0.9524
477,3C,QS,JD,2D,JS,Pair,0.8282
478,KH,7D,10D,4S,8C,High Card,0.1836
479,JS,3C,7C,3D,4C,Pair,0.53
